user_id,user_community,user_active_status,q_anon_tweet_ids,q_anon_retweeted_ids,q_anon_terms_in_description
3319254798,2,suspended,[],"['1329919280855408641', '1333966328546414593']","['wga', 'wwg1wga', 'wwg']"
905806701399613445,2,active,[],[],['awake']
1194658529589833729,2,deleted,[],['1329919280855408641'],[]
3217048577,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1199783430755700743,2,active,[],['1337947280846942208'],[]
1270916569309368329,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1328221472079319041,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
25455350,,active,[],[],['awake']
1210326231390048256,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg', 'savethechildren']"
69746899,2,suspended,['1335799687228616705'],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1242195140908920833,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1250488657,2,active,[],[],"['wga', 'wwg1wga', 'wwg']"
2593241570,,active,[],[],['qanon']
1248215701837447168,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2423408580,2,suspended,['1338603577296650240'],[],[]
1241491498354515969,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1319006569858797574,2,active,[],"['1324706387612606467', '1330560625089667074']",[]
831008516005507073,2,suspended,[],[],['qanon']
1461268495,2,active,[],['1333130738074406914'],[]
228204546,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1103573580967600129,2,suspended,[],[],"['awake', 'thegreatawakening', 'greatawakening']"
2773534570,2,active,[],[],"['wga', 'wwg1wga', 'wwg']"
1275846802206601218,2,active,"['1333070022416216068', '1334257827737694212', '1338876608728473609', '1334507649623351303']",[],[]
1071828936,2,active,[],['1329919280855408641'],[]
460629863,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
834562951537369089,,active,[],[],['awake']
1053730770047524864,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1321908898882711552,2,suspended,['1332501646266433536'],[],"['wga', 'wwg1wga', 'awake', 'wwg', 'enjoytheshow', 'thegreatawakening', 'greatawakening']"
1097617942345330689,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
700782582972157952,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
76924885,4,active,[],['1331787439094996992'],[]
